Année,Mois,Service,Gare de départ,Gare d'arrivée,Durée moyenne du trajet (min),Nombre de circulations prévues,Nombre de trains annulés,Commentaire (facultatif) annulations,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ (min),Retard moyen de tous les trains au départ (min),,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée (min),Retard moyen de tous les trains à l'arrivée (min),Période
2019,2.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,142.282471627,807.0,14.0,,189.0,7.85132275132,1.67610340479,,82.0,29.4119918699,4.32566204288,2019-02
2016,1.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,208.536379019,591.0,5.0,,68.0,16.3235294118,2.46531302876,,35.0,37.9714285714,2.7461928934,2016-01
2019,5.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.317966903,858.0,12.0,,277.0,3.3324909747299998,0.825059101655,,51.0,22.2725490196,2.34623719464,2019-05
2019,3.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,142.167050691,894.0,26.0,,183.0,19.5307832423,3.91899001536,,112.0,49.2625,7.57715053763,2019-03
2016,2.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,208.300473186,634.0,2.0,,91.0,14.3956043956,2.82018927445,,48.0,32.6875,3.70189274448,2016-02
2017,10.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.052934407,871.0,2.0,,114.0,16.6997076023,1.6346183352499999,,107.0,24.7945482866,4.33718833909,2017-10
2018,8.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,146.402489627,738.0,15.0,,296.0,7.82713963964,3.1194329184,,114.0,27.5953216374,5.98621484555,2018-08
2018,11.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.579949239,808.0,20.0,,232.0,11.238433908,3.23291032149,,117.0,31.385042735,6.1347292724199995,2018-11
2015,11.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,209.413846154,654.0,4.0,,139.0,19.309352518,4.91692307692,,71.0,41.1830985915,5.86461538462,2015-11
2017,2.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,205.603076923,658.0,8.0,,85.0,23.4731372549,3.32061538462,,98.0,44.8600340136,7.33271794872,2017-02
2018,5.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,140.89527027,844.0,252.0,,107.0,15.5102803738,3.13994932432,,99.0,22.7693602694,5.22207207207,2018-05
2016,8.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,211.838686131,687.0,2.0,,201.0,18.4925373134,6.29781021898,,105.0,46.0666666667,7.82189781022,2016-08
2015,12.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,209.016961652,682.0,4.0,,97.0,13.9484536082,2.6519174041299998,,37.0,35.5675675676,2.47345132743,2015-12
2017,3.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,205.225312935,726.0,7.0,,79.0,20.746835443,2.15994436718,,90.0,48.8222222222,6.07788595271,2017-03
2017,6.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,206.388017118,709.0,8.0,,146.0,24.2671232877,5.68758915835,,197.0,38.2487309645,12.7203994294,2017-06
2019,6.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,148.30972389,960.0,127.0,409.0,12.8511817441,5.95576230492,,167.0,55.1122754491,13.031352541,,2019-06
2017,9.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.064362336,842.0,3.0,135.0,14.1695061728,2.7481922924099997,,136.0,22.6240196078,4.99918553834,,2017-09
2016,3.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,208.433947773,651.0,26.0,72.0,12.8055555556,2.01075268817,,66.0,39.9090909091,4.92165898618,,2016-03
2016,9.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,210.156727829,658.0,4.0,154.0,18.0194805195,4.87767584098,,130.0,36.0923076923,9.88379204893,,2016-09
2018,4.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,141.217081851,841.0,279.0,200.0,9.49825,3.30290628707,,109.0,25.8597859327,6.52241992883,,2018-04
2019,4.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,142.612345679,812.0,2.0,133.0,7.27631578947,1.01946502058,,64.0,26.6565104167,3.15016460905,,2019-04
2017,12.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,140.289346247,876.0,50.0,154.0,20.8492424242,4.25314769976,,175.0,31.5737142857,8.46275221953,,2017-12
2018,6.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,142.074127907,844.0,156.0,126.0,18.9321428571,3.91397771318,,129.0,27.6927648579,6.6011627907,,2018-06
2018,1.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,141.10982659,870.0,5.0,289.0,11.2478085352,3.69317919075,,147.0,28.4367346939,6.51111753372,,2018-01
2018,2.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,140.980314961,824.0,62.0,306.0,11.6330065359,4.65441819773,,199.0,41.8593802345,12.8667541557,,2018-02
2015,9.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,208.803167421,663.0,0.0,104.0,22.5769230769,4.22926093514,,86.0,49.523255814,7.92760180995,,2015-09
2017,1.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,205.387640449,734.0,22.0,105.0,26.5555555556,4.1480571161,,118.0,43.8398305085,8.42848782772,,2017-01
2016,11.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,212.500776398,649.0,5.0,85.0,19.4705882353,3.11335403727,,145.0,37.0,11.1956521739,,2016-11
2019,1.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,142.443670151,896.0,35.0,187.0,13.9107843137,2.83735965931,,106.0,43.7227987421,6.59488966318,,2019-01
2016,7.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,215.956458636,689.0,0.0,176.0,12.9090909091,4.15820029028,,90.0,32.6333333333,6.17997097242,,2016-07
2018,3.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,141.071174377,878.0,35.0,303.0,10.596259626,3.6937129300100002,,135.0,28.6411111111,6.19849742981,,2018-03
2015,4.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,209.726172466,663.0,2.0,103.0,17.7961165049,3.53706505295,,47.0,41.914893617,3.67019667171,,2015-04
2016,6.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,216.180147059,544.0,95.0,136.0,17.5661764706,5.14522058824,,105.0,34.1904761905,8.17095588235,,2016-06
2015,8.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,210.53617945,694.0,3.0,144.0,18.2361111111,4.59623733719,,55.0,53.0545454545,4.500723589,,2015-08
2016,5.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,214.373857404,547.0,1.0,189.0,17.2380952381,6.67276051188,,118.0,55.5084745763,13.7330895795,,2016-05
2017,8.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,142.038510911,789.0,10.0,150.0,18.1717777778,4.10765939238,,141.0,25.0561465721,5.90654685494,,2017-08
2015,2.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,211.197411003,619.0,1.0,53.0,19.9811320755,2.37055016181,,53.0,42.1698113208,3.74595469256,,2015-02
2018,9.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,146.740740741,784.0,1.0,281.0,8.1490510083,2.77809706258,,107.0,23.9161993769,5.15466155811,,2018-09
2018,7.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,146.925418569,817.0,160.0,337.0,16.5892185955,8.46296296296,,185.0,37.8855855856,12.6102993404,,2018-07
2018,10.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,146.812578616,797.0,2.0,230.0,9.20086956522,2.5460587002099997,,117.0,23.9945868946,5.01670859539,,2018-10
2017,5.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,208.746969697,668.0,8.0,106.0,16.1132075472,3.1303030303,,132.0,30.6136363636,6.50606060606,,2017-05
2015,3.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,209.769794721,682.0,0.0,70.0,13.9142857143,1.96627565982,,44.0,40.1136363636,3.43108504399,,2015-03
2016,12.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,208.666666667,663.0,6.0,98.0,21.7117346939,3.64619482496,,153.0,33.6676470588,9.34589041096,,2016-12
2015,7.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,210.700443787,683.0,7.0,173.0,23.5260115607,6.77662721893,,115.0,56.3565217391,11.7677514793,,2015-07
2015,5.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,211.43438914,663.0,0.0,121.0,14.1404958678,3.2850678733,,39.0,38.358974359,1.9411764705899999,,2015-05
2015,1.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,210.638461538,653.0,3.0,62.0,25.0161290323,2.96923076923,,63.0,60.3968253968,5.68307692308,,2015-01
2017,11.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,142.851415094,864.0,16.0,140.0,16.4188095238,2.77216981132,,113.0,22.2056047198,4.28997641509,,2017-11
2015,6.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,212.257410296,643.0,2.0,132.0,16.6742424242,4.20748829953,,89.0,44.1685393258,6.80499219969,,2015-06
2015,10.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,208.993362832,680.0,2.0,162.0,17.9197530864,4.97935103245,,64.0,40.21875,5.67109144543,,2015-10
2016,4.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,208.529968454,634.0,13.0,131.0,14.5190839695,3.69873817035,,74.0,30.0405405405,4.93217665615,,2016-04
2016,10.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,212.666416792,671.0,4.0,120.0,16.1916666667,3.44527736132,,125.0,36.84,9.21139430285,,2016-10
2017,4.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,209.132243685,677.0,4.0,110.0,22.9909090909,4.21545319465,,116.0,40.6293103448,7.78157503715,,2017-04
2017,7.0,National,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.722222222,776.0,20.0,203.0,18.4532019704,5.53174603175,,195.0,36.1692307692,10.8399470899,,2017-07
2018,12.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,142.159036145,839.0,9.0,198.0,10.1276936027,2.24210843373,,104.0,27.8139423077,4.95785140562,,2018-12
2019,7.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,147.237797247,808.0,9.0,411.0,10.3175993512,5.14491030455,,133.0,37.0528822055,7.45738423029,,2019-07
2019,8.0,,BORDEAUX ST JEAN,PARIS MONTPARNASSE,146.910904255,797.0,45.0,359.0,7.43816155989,3.20950797872,,88.0,29.9460227273,4.60884308511,,2019-08
